Freq (hertz)	Ze (ohms)	ZePhase (deg)
 3051.21	   28.25	   77.61
 3095.16	   28.65	   77.78
 3139.75	   29.05	   77.94
 3184.97	   29.45	   78.11
 3230.85	   29.86	   78.28
 3277.39	   30.28	   78.45
 3324.60	   30.71	   78.61
 3372.49	   31.14	   78.77
 3421.07	   31.58	   78.92
 3470.35	   32.02	   79.08
 3520.33	   32.47	   79.24
 3571.04	   32.93	   79.39
 3622.48	   33.39	   79.53
 3674.66	   33.86	   79.68
 3727.59	   34.33	   79.83
 3781.29	   34.82	   79.97
 3835.76	   35.31	   80.11
 3891.01	   35.81	   80.25
 3947.06	   36.31	   80.39
 4003.91	   36.83	   80.52
 4061.59	   37.35	   80.66
 4120.09	   37.88	   80.79
 4179.44	   38.41	   80.92
 4239.64	   38.95	   81.05
 4300.71	   39.51	   81.17
 4362.66	   40.07	   81.30
 4425.50	   40.63	   81.42
 4489.25	   41.21	   81.54
 4553.92	   41.80	   81.66
 4619.51	   42.39	   81.78
 4686.06	   42.99	   81.89
 4753.56	   43.60	   82.01
 4822.03	   44.22	   82.12
 4891.49	   44.85	   82.23
 4961.95	   45.49	   82.34
 5033.42	   46.13	   82.45
 5105.93	   46.79	   82.55
 5179.47	   47.46	   82.66
 5254.08	   48.13	   82.77
 5329.77	   48.82	   82.87
 5406.54	   49.51	   82.97
 5484.42	   50.22	   83.07
 5563.42	   50.94	   83.16
 5643.56	   51.66	   83.26
 5724.85	   52.40	   83.36
 5807.31	   53.15	   83.45
 5890.96	   53.91	   83.54
 5975.82	   54.68	   83.64
 6061.90	   55.46	   83.72
 6149.22	   56.25	   83.81
 6237.79	   57.05	   83.90
 6327.65	   57.87	   83.99
 6418.79	   58.70	   84.07
 6511.25	   59.54	   84.16
 6605.04	   60.39	   84.24
 6700.19	   61.25	   84.32
 6796.70	   62.13	   84.40
 6894.60	   63.02	   84.48
 6993.92	   63.92	   84.56
 7094.66	   64.83	   84.64
 7196.86	   65.76	   84.71
 7300.52	   66.70	   84.79
 7405.68	   67.66	   84.86
 7512.36	   68.63	   84.93
 7620.57	   69.61	   85.00
 7730.34	   70.61	   85.08
 7841.69	   71.62	   85.15
 7954.65	   72.65	   85.21
 8069.23	   73.69	   85.28
 8185.47	   74.75	   85.35
 8303.38	   75.82	   85.41
 8422.98	   76.90	   85.48
 8544.31	   78.01	   85.54
 8667.39	   79.13	   85.61
 8792.24	   80.26	   85.67
 8918.88	   81.41	   85.73
 9047.36	   82.58	   85.79
 9177.68	   83.77	   85.85
 9309.88	   84.97	   85.91
 9443.98	   86.19	   85.97
 9580.02	   87.43	   86.02
 9718.02	   88.68	   86.08
 9858.00	   89.95	   86.14
10000.00	   91.25	   86.19
10144.05	   92.56	   86.25
10290.17	   93.89	   86.30
10438.39	   95.23	   86.35
10588.75	   96.60	   86.40
10741.28	   97.99	   86.45
10896.00	   99.40	   86.50
11052.95	  100.83	   86.55
11212.16	  102.27	   86.60
11373.67	  103.74	   86.65
11537.50	  105.23	   86.70
11703.69	  106.75	   86.75
11872.28	  108.28	   86.79
12043.30	  109.84	   86.84
12216.77	  111.42	   86.88
12392.75	  113.02	   86.93
12571.26	  114.64	   86.97
12752.35	  116.29	   87.01
12936.04	  117.96	   87.06
13122.37	  119.66	   87.10
13311.40	  121.38	   87.14
13503.14	  123.13	   87.18
13697.65	  124.90	   87.22
13894.95	  126.69	   87.26
14095.11	  128.51	   87.30
14298.14	  130.36	   87.34
14504.10	  132.24	   87.37
14713.02	  134.14	   87.41
14924.96	  136.07	   87.45
15139.94	  138.03	   87.48
15358.03	  140.01	   87.52
15579.25	  142.03	   87.55
15803.66	  144.07	   87.59
16031.31	  146.14	   87.62
16262.23	  148.24	   87.66
16496.48	  150.38	   87.69
16734.10	  152.54	   87.72
16975.15	  154.74	   87.76
17219.67	  156.96	   87.79
17467.71	  159.22	   87.82
17719.33	  161.51	   87.85
17974.56	  163.84	   87.88
18233.48	  166.19	   87.91
18496.12	  168.59	   87.94
18762.55	  171.01	   87.97
19032.82	  173.47	   88.00
19306.98	  175.97	   88.03
19585.09	  178.50	   88.05
19867.20	  181.07	   88.08
20000.00	  182.28	   88.09
